Date,nom_ar,nom_fr,unite,valeur
2025-12-08 01:00:00,Température,Température,°c,14.2
2025-12-08 01:00:00,L'humidité du sol,L'humidité du sol,mV,564.4
2025-12-07 23:00:00,L'humidité du sol,L'humidité du sol,mV,564.6
2025-12-07 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-07 23:00:00,Température,Température,°c,14.6
2025-12-07 21:00:00,Température,Température,°c,15.1
2025-12-07 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-07 21:00:00,L'humidité du sol,L'humidité du sol,mV,565.0
2025-12-07 19:00:00,L'humidité du sol,L'humidité du sol,mV,566.0
2025-12-07 19:00:00,Température,Température,°c,15.9
2025-12-07 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.4
2025-12-07 17:00:00,Température,Température,°c,16.8
2025-12-07 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.4
2025-12-07 17:00:00,L'humidité du sol,L'humidité du sol,mV,566.8
2025-12-07 15:00:00,L'humidité du sol,L'humidité du sol,mV,566.8
2025-12-07 15:00:00,Température,Température,°c,16.5
2025-12-07 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.4
2025-12-07 13:00:00,Température,Température,°c,15.0
2025-12-07 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-07 13:00:00,L'humidité du sol,L'humidité du sol,mV,565.6
2025-12-07 11:00:00,Température,Température,°c,13.8
2025-12-07 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-07 11:00:00,L'humidité du sol,L'humidité du sol,mV,564.8
2025-12-07 09:00:00,Température,Température,°c,13.2
2025-12-07 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-07 09:00:00,L'humidité du sol,L'humidité du sol,mV,564.1
2025-12-07 07:00:00,Température,Température,°c,13.1
