Date,nom_ar,nom_fr,unite,valeur
2025-12-15 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.19
2025-12-15 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-15 01:00:00,Pression atmosphérique,Pression atmosphérique,hPa,991.5
2025-12-15 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-15 01:00:00,Point de Rosée,Point de Rosée,°c,13.7
2025-12-15 01:00:00,Humidité relative,Humidité relative,%,94.2
2025-12-15 01:00:00,Température,Température,°c,14.6
2025-12-15 01:00:00,Direction du vent,Direction du vent,Deg,118.4
2025-12-15 01:00:00,Vitesse du vent,Vitesse du vent,m/s,0.62
2025-12-14 23:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 23:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 23:00:00,Pression atmosphérique,Pression atmosphérique,hPa,992.3
2025-12-14 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-14 23:00:00,Point de Rosée,Point de Rosée,°c,13.4
2025-12-14 23:00:00,Humidité relative,Humidité relative,%,92.8
2025-12-14 23:00:00,Température,Température,°c,14.6
2025-12-14 23:00:00,Direction du vent,Direction du vent,Deg,192.7
2025-12-14 23:00:00,Vitesse du vent,Vitesse du vent,m/s,2.35
2025-12-14 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 21:00:00,Pression atmosphérique,Pression atmosphérique,hPa,992.7
2025-12-14 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-14 21:00:00,Point de Rosée,Point de Rosée,°c,12.7
2025-12-14 21:00:00,Humidité relative,Humidité relative,%,85.6
2025-12-14 21:00:00,Température,Température,°c,15.1
2025-12-14 21:00:00,Direction du vent,Direction du vent,Deg,151.9
2025-12-14 21:00:00,Vitesse du vent,Vitesse du vent,m/s,2.47
2025-12-14 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 19:00:00,Pression atmosphérique,Pression atmosphérique,hPa,991.9
2025-12-14 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,1.0
2025-12-14 19:00:00,Point de Rosée,Point de Rosée,°c,11.6
2025-12-14 19:00:00,Humidité relative,Humidité relative,%,75.6
2025-12-14 19:00:00,Température,Température,°c,15.9
2025-12-14 19:00:00,Direction du vent,Direction du vent,Deg,141.6
2025-12-14 19:00:00,Vitesse du vent,Vitesse du vent,m/s,0.98
2025-12-14 17:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 17:00:00,Pression atmosphérique,Pression atmosphérique,hPa,991.2
2025-12-14 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,5.0
2025-12-14 17:00:00,Point de Rosée,Point de Rosée,°c,11.1
2025-12-14 17:00:00,Humidité relative,Humidité relative,%,69.9
2025-12-14 17:00:00,Température,Température,°c,16.7
